Greece-bulgaria	GREECE-BULGARIA:  THESSALONIKI; BULGARIA:  PLOVDIV	Greece-bulgaria
Greece-bulgaria border region	GREECE-BULGARIA BORDER REGION	Greece-bulgaria border region
Greece-turkey	GREECE-TURKEY:  VITINIA,HELLESPONT	Greece-turkey
Grenada	GRENADA	Grenada
Guadeloupe	GUADELOUPE: BASSE TERRE	Guadeloupe
Guam	GUAM	Guam
Guam, northern mariana islands	GUAM, NORTHERN MARIANA ISLANDS	Guam, northern mariana islands
Guatemala	GUATEMALA:  ANTIGUA	Guatemala
Guinea	GUINEA:  GAOUAL-KOUMBIA	Guinea
Gulf of mexico	GULF OF MEXICO	Gulf of mexico
Guyana	BRAZIL; FRENCH GUIANA; SURINAME; GUYANA	Guyana
Haiti	HAITI:  LEOGANE,PETIT GOAVE	Haiti
Hawaii	HAWAII	Hawaii
Hawaiian islands	HAWAIIAN ISLANDS	Hawaiian islands
Honduras	HONDURAS: CABO DE HIGUERAS	Honduras
Honduras-guatemala-el salvador	HONDURAS-GUATEMALA-EL SALVADOR	Honduras-guatemala-el salvador
Honshu island, japan	HONSHU ISLAND, JAPAN	Honshu island, japan
Hungary	HUNGARY:  GYOR; CZECHOSLOVAKIA:  KOMAROM	Hungary
Ibaraki, japan	IBARAKI, JAPAN	Ibaraki, japan
Iceland	ICELAND:  SUDURLAND	Iceland
Idaho	IDAHO:  POCATELLO VALLEY	Idaho
Illinois	ILLINOIS:  WEST SALEM	Illinois
India	INDIA:  KUTCH	India
India-bangladesh	INDIA-BANGLADESH:  CHITTAGONG, BANGLADESH	India-bangladesh
India-bangladesh border	INDIA-BANGLADESH BORDER:  MAHESHKHALI	India-bangladesh border
India-china	INDIA-CHINA	India-china
Indian ocean	INDIAN OCEAN:  S	Indian ocean
Indiana	MICHIGAN; OHIO; INDIANA	Indiana
Indonesia	INDONESIA:  BANDA SEA	Indonesia
Indonesia-malaysia	INDONESIA-MALAYSIA:  N SUMATERA,MALAY PENINSULA	Indonesia-malaysia
Instanbul (constantinople)	INSTANBUL (CONSTANTINOPLE)	Instanbul (constantinople)
Iran	IRAN:  REY,EIVAN-E-KAY	Iran
Iran-iraq	IRAN-IRAQ:  DINAVAR,BAGHDAD, TIGRIS-KTESIPHON	Iran-iraq
Iraq	IRAQ:  JAZIRAH:  BETWEEN TIGRIS AND THARTHAR RIVERS	Iraq
Iraq-syria	IRAQ-SYRIA:  MESOPOTAMIA, MOSUL	Iraq-syria
Ireland	IRELAND:  SLIGO, MAYO	Ireland
Israel	ISRAEL:  ARIHA (JERICHO)	Israel
Italy	ITALY:  LACUS CIMINI	Italy
Italy-balkans nw	ITALY-BALKANS NW	Italy-balkans nw
Iwate, japan	IWATE, JAPAN	Iwate, japan
Jamaica	JAMAICA	Jamaica
Japan	JAPAN	Japan
Japan trench	JAPAN TRENCH	Japan trench
Java-s. java sea	JAVA-S. JAVA SEA	Java-s. java sea
Jordan	JORDAN:  BAB-A-DARAA,AL-KARAK	Jordan
Kashima, japan	KASHIMA, JAPAN	Kashima, japan
Kazahkstan	AFGHANISTAN; INDIA:  HINDU-KUSH; KAZAHKSTAN:  BALKHA	Kazahkstan
Kazakhstan	KAZAKHSTAN	Kazakhstan
Kentucky	KENTUCKY:  MAYSVILLE	Kentucky
Kenya	KENYA: SUBUKIA	Kenya
Kermadec islands	KERMADEC ISLANDS	Kermadec islands
Kiribati	KIRIBATI:  PHOENIX ISLANDS	Kiribati
Koori	KOORI	Koori
Kyrgyzstan	KYRGYZSTAN:  CHIGUCHIN	Kyrgyzstan
Lake erie (great lakes)	LAKE ERIE (GREAT LAKES)	Lake erie (great lakes)
Laos	LAOS;  VIETNAM: DIENBIEN PHU	Laos
Lebanon	LEBANON:  SUR (TYRE)	Lebanon
Lebanon-syria	LEBANON-SYRIA:  BAALBEC; SYRIA: DAMASCUS, ANTIOCH	Lebanon-syria
Lhoknga, aceh	LHOKNGA, ACEH	Lhoknga, aceh
Libya	LIBYA: SOUTHERN LIBYA	Libya
Lower egypt	GREECE:  RHODES ISLAND; LOWER EGYPT	Lower egypt
Macedonia	BALKANS NW:  KOSOVO; MACEDONIA:  N	Macedonia
Macquarie island	MACQUARIE ISLAND:  MACQUARIE STATION; NEW ZEALAND	Macquarie island
Mactan i	PHILIPPINES:  CEBU I:  CEBU; MACTAN I	Mactan i
Madagascar	MADAGASCAR: ANTSIRABE	Madagascar
Maine	NEW HAMPSHIRE; MAINE	Maine
Malawi	MALAWI:  SALIMA, DEDZA, MOHINJI	Malawi
Malaysia	MALAYSIA:  SABAH:  LAHAD,DATU,KANAK	Malaysia
Marmara sea	MARMARA SEA	Marmara sea
Martinique	MARTINIQUE	Martinique
Martinique & barbados	MARTINIQUE & BARBADOS	Martinique & barbados
Massachusetts	MASSACHUSETTS;  NEW HAMPSHIRE	Massachusetts
Mexico	MEXICO:  MEXICO CITY	Mexico
Mexico city	MEXICO:  GUERRERO; MEXICO CITY	Mexico city
Mexico-guatemala	MEXICO-GUATEMALA	Mexico-guatemala
Michigan	MICHIGAN; OHIO; INDIANA	Michigan
Michoacan	MEXICO:  GUERRERO:  COAHUAYUTLA; MICHOACAN: CUITZEO	Michoacan
Micronesia, fed. states of	MICRONESIA, FED. STATES OF:  CAROLINE ISLANDS	Micronesia, fed. states of
Mindanao island, philippines	MINDANAO ISLAND, PHILIPPINES	Mindanao island, philippines
Missouri	MISSOURI:  NEW MADRID	Missouri
Miyakojima, japan	MIYAKOJIMA, JAPAN	Miyakojima, japan
Moldova	ROMANIA; MOLDOVA	Moldova
Mongolia	MONGOLIA	Mongolia
Montana	MONTANA:  CLARKSTON VALLEY	Montana
Montenegro	MONTENEGRO: BAR ULCINJ	Montenegro
Montserrat	MONTSERRAT	Montserrat
Morocco	MOROCCO:  EL ARAISH (LARACHE)	Morocco
Mozambique	MOZAMBIQUE	Mozambique
Myanmar	MYANMAR; INDIA:  ASSAM	Myanmar
Myanmar (burma)	MYANMAR (BURMA):  AVA (INNWA)	Myanmar (burma)
Myanmar (burma) coast	MYANMAR (BURMA) COAST	Myanmar (burma) coast
Mynamar (burma)	MYNAMAR (BURMA):  AVA (INNWA)	Mynamar (burma)
N guatemala	HONDURAS;  N GUATEMALA:  IZABEL PROVINCE	N guatemala
N iran	AZERBAIJAN:  SEMACHA; N IRAN	N iran
N mindoro	PHILIPPINES:  S LUZON:  MANILA; N MINDORO	N mindoro
N. mexico	N. MEXICO	N. mexico
N. new zealand	N. NEW ZEALAND	N. new zealand
N. sanriku, japan	N. SANRIKU, JAPAN	N. sanriku, japan
Ne. hokkaido island, japan	NE. HOKKAIDO ISLAND, JAPAN	Ne. hokkaido island, japan
Near istanbul	TURKEY:  ROSANNA; NEAR ISTANBUL	Near istanbul
Nemuro, japan	NEMURO, JAPAN	Nemuro, japan
Nepal	NEPAL:  KATHMANDU	Nepal
Nepal-india	NEPAL-INDIA	Nepal-india
Nevada	NEVADA:  PLEASANT VALLEY	Nevada
Nevada-california border	NEVADA-CALIFORNIA BORDER:  NEVADA TEST SITE	Nevada-california border
New caledonia	NEW CALEDONIA:  LOYALTY ISLANDS:  LIFOU ISLAND	New caledonia
New hampshire	NEW HAMPSHIRE: CONCORD	New hampshire
New jersey	NEW JERSEY: HIGH BRIDGE	New jersey
New york	NEW YORK:  LONG ISLAND	New york
New zealand	NEW ZEALAND:  FJORDLAND	New zealand
Nicaragua	NICARAGUA:  LEON	Nicaragua
Niue	SAMOA:  APIA; AMERICAN SAMOA:  PAGO PAGO; NIUE	Niue
